unit_id,zone,strength_psi,instructional_status
SIM-036,west shoulder,4160,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-037,east shoulder,5550,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-038,west lane,5040,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-039,east lane,5120,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-040,centerline,4550,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-041,west shoulder,3380,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-042,east shoulder,4570,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-043,west lane,4760,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-044,east lane,4400,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-045,centerline,5650,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-046,west shoulder,4520,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-047,east shoulder,4930,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-048,west lane,5750,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-049,east lane,4740,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-050,centerline,4390,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-051,west shoulder,4730,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-052,east shoulder,5430,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-053,west lane,4720,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-054,east lane,5170,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-055,centerline,5830,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-056,west shoulder,4410,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-057,east shoulder,4560,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-058,west lane,4560,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-059,east lane,5520,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-060,centerline,4750,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-061,west shoulder,4830,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-062,east shoulder,3710,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-063,west lane,3690,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-064,east lane,4200,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-065,centerline,4100,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-066,west shoulder,4060,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-067,east shoulder,4790,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-068,west lane,4170,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-069,east lane,5170,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-070,centerline,5390,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-071,west shoulder,4550,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-072,east shoulder,5220,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-073,west lane,5160,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-074,east lane,5650,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-075,centerline,5200,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-076,west shoulder,5160,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-077,east shoulder,4900,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-078,west lane,5020,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-079,east lane,4780,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-080,centerline,5160,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-081,west shoulder,4630,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-082,east shoulder,4660,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-083,west lane,5350,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-084,east lane,5010,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-085,centerline,4630,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-086,west shoulder,5420,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-087,east shoulder,5010,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-088,west lane,5140,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-089,east lane,4310,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-090,centerline,4800,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-091,west shoulder,5640,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-092,east shoulder,4720,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-093,west lane,4900,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-094,east lane,6250,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-095,centerline,5200,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-096,west shoulder,5590,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-097,east shoulder,4850,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-098,west lane,5330,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-099,east lane,4780,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-100,centerline,4540,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-101,west shoulder,4430,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-102,east shoulder,4370,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-103,west lane,5080,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-104,east lane,3930,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-105,centerline,3690,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-106,west shoulder,4850,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-107,east shoulder,4380,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-108,west lane,4070,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-109,east lane,4800,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-110,centerline,4910,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-111,west shoulder,4970,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-112,east shoulder,4610,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-113,west lane,4830,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-114,east lane,4710,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-115,centerline,4960,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-116,west shoulder,5140,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-117,east shoulder,5560,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-118,west lane,5150,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-119,east lane,4370,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-120,centerline,4840,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-121,west shoulder,5420,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-122,east shoulder,5140,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-123,west lane,4410,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-124,east lane,5040,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-125,centerline,4620,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-126,west shoulder,4760,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-127,east shoulder,5530,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-128,west lane,5890,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-129,east lane,5290,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-130,centerline,3860,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-131,west shoulder,4850,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-132,east shoulder,4920,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-133,west lane,4530,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-134,east lane,4980,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-135,centerline,5140,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-136,west shoulder,5160,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-137,east shoulder,5060,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-138,west lane,4410,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-139,east lane,4850,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-140,centerline,4660,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-141,west shoulder,4880,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-142,east shoulder,4650,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-143,west lane,5060,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-144,east lane,5280,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-145,centerline,5370,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-146,west shoulder,5540,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-147,east shoulder,5120,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-148,west lane,4750,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-149,east lane,4760,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-150,centerline,4720,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-151,west shoulder,4600,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-152,east shoulder,4570,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-153,west lane,5470,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-154,east lane,5260,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-155,centerline,4620,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-156,west shoulder,4290,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-157,east shoulder,4760,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-158,west lane,4820,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-159,east lane,4580,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-160,centerline,4630,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-161,west shoulder,4750,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-162,east shoulder,5810,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-163,west lane,5050,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-164,east lane,5140,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-165,centerline,4620,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-166,west shoulder,4600,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-167,east shoulder,5330,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-168,west lane,4590,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-169,east lane,5920,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-170,centerline,4870,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-171,west shoulder,4390,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-172,east shoulder,4850,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-173,west lane,5330,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-174,east lane,4830,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-175,centerline,5580,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-176,west shoulder,5270,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-177,east shoulder,4210,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-178,west lane,5880,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-179,east lane,5170,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-180,centerline,4330,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-181,west shoulder,4110,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-182,east shoulder,5270,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-183,west lane,4690,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-184,east lane,5230,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-185,centerline,5750,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-186,west shoulder,4950,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-187,east shoulder,4750,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-188,west lane,5320,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-189,east lane,5370,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-190,centerline,5930,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-191,west shoulder,4760,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-192,east shoulder,4880,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-193,west lane,5680,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-194,east lane,4690,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-195,centerline,4560,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-196,west shoulder,4490,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-197,east shoulder,4570,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-198,west lane,5110,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-199,east lane,4860,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
SIM-200,centerline,4080,SIMULATED POPULATION — NOT OTTER BEND EVIDENCE
