ConceptID,ConceptLabel,Dependencies,TaxonomyID
122,Re-Testing After a Fix,119|102,DBG
123,Scoping a Design Tool,97|98,DES
124,Iterative Design Loop,116|97,DES
125,Design Across Load Cases,124|6|7,DES
126,Parameter Sweep,89|88,DES
127,Design Convergence,124|75,DES
128,Agent Drift From Requirements,124|75|92,DES
129,Engineering Calculation Tool,93|97|109,DES
130,Inputs and Outputs,129,DES
131,Input Validation,130|111,DES
132,Documented Assumptions,129|130,DES
133,Validating Against a Reference,107|129,DES
134,AI Research Assistant,38|39,AGT
135,Literature Summary,134|29,DES
136,Citation and Source Verification,31|135|30,VER
137,Design Tradeoff and Objectives,7|125|124|1,DES
138,AI-Assisted Tradeoff Analysis,137|116|29,DES
139,Engineering Judgment,137|138,DES
140,Risk and Consequence,26,ETH
141,Failure Mode,7,ETH
142,Autonomous AI Systems,38|75,ETH
143,Human in the Loop,142|76,ETH
144,Accountability for AI Decisions,142|143,ETH
145,AI Ethics,50|142,ETH
146,Explainability,145|17,ETH
147,Verifying Agent Output,49|107|75,VER
148,Code Compliance Check,12|31,VER
149,Independent Verification,147|106,VER
150,Verification Checklist,147|110|109,VER
151,Documenting and Tracing Checks,150|132|116|117,VER
152,Safety-Critical System,140|141,ETH
153,Licensure and the PE Stamp,12,ETH
154,Responsible Charge,153|144,ETH
155,AI-Assisted Accountability,154|143|147,ETH
156,Disclosing AI Use,155|146,ETH
157,Limits of AI,62|30|53,ETH
158,Missed Failure Modes and Codes,141|157|148,ETH
159,Conditions Beyond Training,54|157,ETH
160,Tacit Knowledge and Physics Gaps,157|6,ETH
161,Judgment Catching AI Errors,139|158,ETH
162,When Not to Use AI,157|140|143,ETH
163,Reflecting on AI Use,155|162,ETH
