row_id,timestamp_cst,gauge_id,raw_strain_microstrain,baseline_offset_microstrain,corrected_strain_microstrain,temperature_c,vibration_mm_s,quality_flag
F00057,2027-02-02 01:10,G1,-4.5,0,-4.5,-6.7,0.22,OK
F00058,2027-02-02 01:10,G2,-0.0,1,-1.0,-6.7,0.16,OK
F00059,2027-02-02 01:10,G3,-3.2,-1,-2.2,-6.7,0.20,OK
F00060,2027-02-02 01:10,G4,-3.2,0,-3.2,-6.7,0.17,OK
F00061,2027-02-02 01:10,G5,-2.7,2,-4.7,-6.7,0.23,OK
F00062,2027-02-02 01:10,G6,180.8,187,-6.2,-6.7,0.21,OK
F00063,2027-02-02 01:10,G7,-5.3,-2,-3.3,-6.7,0.16,OK
F00064,2027-02-02 01:10,G8,-4.0,0,-4.0,-6.7,0.22,OK
F00065,2027-02-02 01:20,G1,-6.3,0,-6.3,-7.0,0.17,OK
F00066,2027-02-02 01:20,G2,0.4,1,-0.6,-7.0,0.18,OK
F00067,2027-02-02 01:20,G3,-3.2,-1,-2.2,-7.0,0.20,OK
F00068,2027-02-02 01:20,G4,-6.7,0,-6.7,-7.0,0.18,OK
F00069,2027-02-02 01:20,G5,-5.6,2,-7.6,-7.0,0.21,OK
F00070,2027-02-02 01:20,G6,183.7,187,-3.3,-7.0,0.21,OK
F00071,2027-02-02 01:20,G7,-4.4,-2,-2.4,-7.0,0.18,OK
F00072,2027-02-02 01:20,G8,-8.3,0,-8.3,-7.0,0.20,OK
F00073,2027-02-02 01:30,G1,-5.8,0,-5.8,-7.2,0.24,OK
F00074,2027-02-02 01:30,G2,-2.6,1,-3.6,-7.2,0.16,OK
F00075,2027-02-02 01:30,G3,-1.8,-1,-0.8,-7.2,0.20,OK
F00076,2027-02-02 01:30,G4,-10.0,0,-10.0,-7.2,0.16,OK
F00077,2027-02-02 01:30,G5,-4.0,2,-6.0,-7.2,0.23,OK
F00078,2027-02-02 01:30,G6,178.9,187,-8.1,-7.2,0.24,OK
F00079,2027-02-02 01:30,G7,-6.4,-2,-4.4,-7.2,0.20,OK
F00080,2027-02-02 01:30,G8,-7.8,0,-7.8,-7.2,0.17,OK
F00081,2027-02-02 01:40,G1,-8.6,0,-8.6,-7.5,0.19,OK
F00082,2027-02-02 01:40,G2,-3.4,1,-4.4,-7.5,0.20,OK
F00083,2027-02-02 01:40,G3,-11.0,-1,-10.0,-7.5,0.24,OK
F00084,2027-02-02 01:40,G4,-1.9,0,-1.9,-7.5,0.21,OK
F00085,2027-02-02 01:40,G5,-1.5,2,-3.5,-7.5,0.18,OK
F00086,2027-02-02 01:40,G6,175.9,187,-11.1,-7.5,0.19,OK
F00087,2027-02-02 01:40,G7,-9.3,-2,-7.3,-7.5,0.18,OK
F00088,2027-02-02 01:40,G8,-9.9,0,-9.9,-7.5,0.18,OK
F00089,2027-02-02 01:50,G1,-7.4,0,-7.4,-7.7,0.23,OK
F00090,2027-02-02 01:50,G2,-5.6,1,-6.6,-7.7,0.24,OK
F00091,2027-02-02 01:50,G3,-5.2,-1,-4.2,-7.7,0.18,OK
F00092,2027-02-02 01:50,G4,-10.3,0,-10.3,-7.7,0.21,OK
F00093,2027-02-02 01:50,G5,-2.5,2,-4.5,-7.7,0.24,OK
F00094,2027-02-02 01:50,G6,175.9,187,-11.1,-7.7,0.20,OK
F00095,2027-02-02 01:50,G7,-5.6,-2,-3.6,-7.7,0.23,OK
F00096,2027-02-02 01:50,G8,-6.0,0,-6.0,-7.7,0.17,OK
F00097,2027-02-02 02:00,G1,-8.2,0,-8.2,-8.0,0.20,OK
F00098,2027-02-02 02:00,G2,-7.0,1,-8.0,-8.0,0.24,OK
F00099,2027-02-02 02:00,G3,-10.9,-1,-9.9,-8.0,0.18,OK
F00100,2027-02-02 02:00,G4,-5.1,0,-5.1,-8.0,0.18,OK
F00101,2027-02-02 02:00,G5,-3.4,2,-5.4,-8.0,0.21,OK
F00102,2027-02-02 02:00,G6,182.1,187,-4.9,-8.0,0.24,OK
F00103,2027-02-02 02:00,G7,-7.0,-2,-5.0,-8.0,0.17,OK
F00104,2027-02-02 02:00,G8,-4.9,0,-4.9,-8.0,0.20,OK
F00105,2027-02-02 02:10,G1,-7.5,0,-7.5,-8.3,0.18,OK
F00106,2027-02-02 02:10,G2,-9.4,1,-10.4,-8.3,0.18,OK
F00107,2027-02-02 02:10,G3,-8.1,-1,-7.1,-8.3,0.21,OK
F00108,2027-02-02 02:10,G4,-3.6,0,-3.6,-8.3,0.23,OK
F00109,2027-02-02 02:10,G5,-5.6,2,-7.6,-8.3,0.21,OK
F00110,2027-02-02 02:10,G6,176.9,187,-10.1,-8.3,0.24,OK
F00111,2027-02-02 02:10,G7,-14.1,-2,-12.1,-8.3,0.21,OK
F00112,2027-02-02 02:10,G8,-9.3,0,-9.3,-8.3,0.21,OK
F00113,2027-02-02 02:20,G1,-11.7,0,-11.7,-8.5,0.23,OK
F00114,2027-02-02 02:20,G2,-8.5,1,-9.5,-8.5,0.18,OK
F00115,2027-02-02 02:20,G3,-5.8,-1,-4.8,-8.5,0.23,OK
F00116,2027-02-02 02:20,G4,-9.9,0,-9.9,-8.5,0.23,OK
F00117,2027-02-02 02:20,G5,-9.3,2,-11.3,-8.5,0.21,OK
F00118,2027-02-02 02:20,G6,181.2,187,-5.8,-8.5,0.20,OK
F00119,2027-02-02 02:20,G7,-14.5,-2,-12.5,-8.5,0.24,OK
F00120,2027-02-02 02:20,G8,-10.5,0,-10.5,-8.5,0.19,OK
F00121,2027-02-02 02:30,G1,-6.6,0,-6.6,-8.8,0.19,OK
F00122,2027-02-02 02:30,G2,-6.4,1,-7.4,-8.8,0.18,OK
F00123,2027-02-02 02:30,G3,-5.7,-1,-4.7,-8.8,0.23,OK
F00124,2027-02-02 02:30,G4,-8.9,0,-8.9,-8.8,0.16,OK
F00125,2027-02-02 02:30,G5,-9.4,2,-11.4,-8.8,0.23,OK
F00126,2027-02-02 02:30,G6,180.5,187,-6.5,-8.8,0.17,OK
F00127,2027-02-02 02:30,G7,-11.7,-2,-9.7,-8.8,0.18,OK
F00128,2027-02-02 02:30,G8,-13.8,0,-13.8,-8.8,0.21,OK
F00129,2027-02-02 02:40,G1,-6.7,0,-6.7,-9.0,0.17,OK
F00130,2027-02-02 02:40,G2,-3.6,1,-4.6,-9.0,0.20,OK
F00131,2027-02-02 02:40,G3,-11.7,-1,-10.7,-9.0,0.17,OK
F00132,2027-02-02 02:40,G4,-8.6,0,-8.6,-9.0,0.16,OK
F00133,2027-02-02 02:40,G5,-8.3,2,-10.3,-9.0,0.22,OK
F00134,2027-02-02 02:40,G6,172.0,187,-15.0,-9.0,0.22,OK
F00135,2027-02-02 02:40,G7,-11.7,-2,-9.7,-9.0,0.20,OK
F00136,2027-02-02 02:40,G8,-8.4,0,-8.4,-9.0,0.24,OK
F00137,2027-02-02 02:50,G1,-10.5,0,-10.5,-9.3,0.24,OK
F00138,2027-02-02 02:50,G2,-5.2,1,-6.2,-9.3,0.21,OK
F00139,2027-02-02 02:50,G3,-11.0,-1,-10.0,-9.3,0.24,OK
F00140,2027-02-02 02:50,G4,-11.9,0,-11.9,-9.3,0.19,OK
F00141,2027-02-02 02:50,G5,-12.4,2,-14.4,-9.3,0.22,OK
F00142,2027-02-02 02:50,G6,178.3,187,-8.7,-9.3,0.16,OK
F00143,2027-02-02 02:50,G7,-12.7,-2,-10.7,-9.3,0.22,OK
F00144,2027-02-02 02:50,G8,-11.0,0,-11.0,-9.3,0.16,OK
F00145,2027-02-02 03:00,G1,-14.0,0,-14.0,-9.6,0.20,OK
F00146,2027-02-02 03:00,G2,-8.3,1,-9.3,-9.6,0.23,OK
F00147,2027-02-02 03:00,G3,-13.8,-1,-12.8,-9.6,0.19,OK
F00148,2027-02-02 03:00,G4,-8.1,0,-8.1,-9.6,0.22,OK
F00149,2027-02-02 03:00,G5,-11.4,2,-13.4,-9.6,0.22,OK
F00150,2027-02-02 03:00,G6,179.0,187,-8.0,-9.6,0.23,OK
F00151,2027-02-02 03:00,G7,-13.5,-2,-11.5,-9.6,0.21,OK
F00152,2027-02-02 03:00,G8,-14.3,0,-14.3,-9.6,0.22,OK
F00153,2027-02-02 03:10,G1,-14.1,0,-14.1,-9.8,0.23,OK
F00154,2027-02-02 03:10,G2,-9.4,1,-10.4,-9.8,0.19,OK
F00155,2027-02-02 03:10,G3,-15.3,-1,-14.3,-9.8,0.19,OK
F00156,2027-02-02 03:10,G4,-16.4,0,-16.4,-9.8,0.20,OK
F00157,2027-02-02 03:10,G5,-6.3,2,-8.3,-9.8,0.18,OK
F00158,2027-02-02 03:10,G6,171.7,187,-15.3,-9.8,0.18,OK
F00159,2027-02-02 03:10,G7,-12.9,-2,-10.9,-9.8,0.17,OK
F00160,2027-02-02 03:10,G8,-16.7,0,-16.7,-9.8,0.18,OK
F00161,2027-02-02 03:20,G1,-15.1,0,-15.1,-10.1,0.16,OK
F00162,2027-02-02 03:20,G2,-10.1,1,-11.1,-10.1,0.22,OK
F00163,2027-02-02 03:20,G3,-12.7,-1,-11.7,-10.1,0.19,OK
F00164,2027-02-02 03:20,G4,-17.0,0,-17.0,-10.1,0.22,OK
F00165,2027-02-02 03:20,G5,-10.2,2,-12.2,-10.1,0.20,OK
F00166,2027-02-02 03:20,G6,169.4,187,-17.6,-10.1,0.23,OK
F00167,2027-02-02 03:20,G7,-20.0,-2,-18.0,-10.1,0.20,OK
F00168,2027-02-02 03:20,G8,-12.7,0,-12.7,-10.1,0.17,OK
F00169,2027-02-02 03:30,G1,-13.1,0,-13.1,-10.3,0.22,OK
F00170,2027-02-02 03:30,G2,-10.9,1,-11.9,-10.3,0.16,OK
F00171,2027-02-02 03:30,G3,-14.4,-1,-13.4,-10.3,0.20,OK
F00172,2027-02-02 03:30,G4,-13.1,0,-13.1,-10.3,0.17,OK
F00173,2027-02-02 03:30,G5,-7.3,2,-9.3,-10.3,0.22,OK
F00174,2027-02-02 03:30,G6,175.3,187,-11.7,-10.3,0.18,OK
F00175,2027-02-02 03:30,G7,-20.8,-2,-18.8,-10.3,0.19,OK
F00176,2027-02-02 03:30,G8,-19.0,0,-19.0,-10.3,0.23,OK
F00177,2027-02-02 03:40,G1,-14.0,0,-14.0,-10.5,0.21,OK
F00178,2027-02-02 03:40,G2,-13.6,1,-14.6,-10.5,0.22,OK
F00179,2027-02-02 03:40,G3,-13.5,-1,-12.5,-10.5,0.20,OK
F00180,2027-02-02 03:40,G4,-10.6,0,-10.6,-10.5,0.20,OK
F00181,2027-02-02 03:40,G5,-16.9,2,-18.9,-10.5,0.16,OK
F00182,2027-02-02 03:40,G6,168.5,187,-18.5,-10.5,0.23,OK
F00183,2027-02-02 03:40,G7,-18.3,-2,-16.3,-10.5,0.17,OK
F00184,2027-02-02 03:40,G8,-15.3,0,-15.3,-10.5,0.18,OK
F00185,2027-02-02 03:50,G1,-16.0,0,-16.0,-10.8,0.21,OK
F00186,2027-02-02 03:50,G2,-14.1,1,-15.1,-10.8,0.21,OK
F00187,2027-02-02 03:50,G3,-12.9,-1,-11.9,-10.8,0.17,OK
F00188,2027-02-02 03:50,G4,-10.6,0,-10.6,-10.8,0.17,OK
F00189,2027-02-02 03:50,G5,-13.8,2,-15.8,-10.8,0.19,OK
F00190,2027-02-02 03:50,G6,167.7,187,-19.3,-10.8,0.21,OK
F00191,2027-02-02 03:50,G7,-22.6,-2,-20.6,-10.8,0.23,OK
F00192,2027-02-02 03:50,G8,-20.0,0,-20.0,-10.8,0.21,OK
F00193,2027-02-02 04:00,G1,-9.6,0,-9.6,-11.0,0.20,OK
F00194,2027-02-02 04:00,G2,-8.3,1,-9.3,-11.0,0.20,OK
F00195,2027-02-02 04:00,G3,-18.5,-1,-17.5,-11.0,0.24,OK
F00196,2027-02-02 04:00,G4,-17.5,0,-17.5,-11.0,0.20,OK
F00197,2027-02-02 04:00,G5,-13.0,2,-15.0,-11.0,0.24,OK
F00198,2027-02-02 04:00,G6,172.4,187,-14.6,-11.0,0.22,OK
F00199,2027-02-02 04:00,G7,-22.4,-2,-20.4,-11.0,0.19,OK
F00200,2027-02-02 04:00,G8,-16.8,0,-16.8,-11.0,0.22,OK
F00201,2027-02-02 04:10,G1,-9.3,0,-9.3,-11.2,0.18,OK
F00202,2027-02-02 04:10,G2,-11.8,1,-12.8,-11.2,0.18,OK
F00203,2027-02-02 04:10,G3,-13.0,-1,-12.0,-11.2,0.18,OK
F00204,2027-02-02 04:10,G4,-13.7,0,-13.7,-11.2,0.23,OK
F00205,2027-02-02 04:10,G5,-10.0,2,-12.0,-11.2,0.17,OK
F00206,2027-02-02 04:10,G6,171.8,187,-15.2,-11.2,0.17,OK
F00207,2027-02-02 04:10,G7,-15.2,-2,-13.2,-11.2,0.21,OK
F00208,2027-02-02 04:10,G8,-14.4,0,-14.4,-11.2,0.23,OK
F00209,2027-02-02 04:20,G1,-15.7,0,-15.7,-11.4,0.23,OK
F00210,2027-02-02 04:20,G2,-14.4,1,-15.4,-11.4,0.17,OK
F00211,2027-02-02 04:20,G3,-11.9,-1,-10.9,-11.4,0.22,OK
F00212,2027-02-02 04:20,G4,-19.6,0,-19.6,-11.4,0.17,OK
F00213,2027-02-02 04:20,G5,-12.4,2,-14.4,-11.4,0.20,OK
F00214,2027-02-02 04:20,G6,165.6,187,-21.4,-11.4,0.17,OK
F00215,2027-02-02 04:20,G7,-22.3,-2,-20.3,-11.4,0.24,OK
F00216,2027-02-02 04:20,G8,-16.0,0,-16.0,-11.4,0.18,OK
F00217,2027-02-02 04:30,G1,-16.3,0,-16.3,-11.7,0.17,OK
F00218,2027-02-02 04:30,G2,-12.0,1,-13.0,-11.7,0.21,OK
F00219,2027-02-02 04:30,G3,-19.6,-1,-18.6,-11.7,0.20,OK
F00220,2027-02-02 04:30,G4,-13.1,0,-13.1,-11.7,0.24,OK
F00221,2027-02-02 04:30,G5,-15.3,2,-17.3,-11.7,0.17,OK
F00222,2027-02-02 04:30,G6,167.0,187,-20.0,-11.7,0.22,OK
F00223,2027-02-02 04:30,G7,-23.7,-2,-21.7,-11.7,0.23,OK
F00224,2027-02-02 04:30,G8,-20.6,0,-20.6,-11.7,0.21,OK
F00225,2027-02-02 04:40,G1,-18.8,0,-18.8,-11.9,0.17,OK
F00226,2027-02-02 04:40,G2,-13.5,1,-14.5,-11.9,0.23,OK
F00227,2027-02-02 04:40,G3,-15.3,-1,-14.3,-11.9,0.24,OK
F00228,2027-02-02 04:40,G4,-19.4,0,-19.4,-11.9,0.18,OK
F00229,2027-02-02 04:40,G5,-17.4,2,-19.4,-11.9,0.23,OK
F00230,2027-02-02 04:40,G6,171.8,187,-15.2,-11.9,0.20,OK
F00231,2027-02-02 04:40,G7,-18.0,-2,-16.0,-11.9,0.22,OK
F00232,2027-02-02 04:40,G8,-22.0,0,-22.0,-11.9,0.21,OK
F00233,2027-02-02 04:50,G1,-14.7,0,-14.7,-12.1,0.24,OK
F00234,2027-02-02 04:50,G2,-13.2,1,-14.2,-12.1,0.18,OK
F00235,2027-02-02 04:50,G3,-18.0,-1,-17.0,-12.1,0.19,OK
F00236,2027-02-02 04:50,G4,-19.4,0,-19.4,-12.1,0.22,OK
F00237,2027-02-02 04:50,G5,-17.5,2,-19.5,-12.1,0.21,OK
F00238,2027-02-02 04:50,G6,169.2,187,-17.8,-12.1,0.21,OK
F00239,2027-02-02 04:50,G7,-22.4,-2,-20.4,-12.1,0.20,OK
F00240,2027-02-02 04:50,G8,-22.5,0,-22.5,-12.1,0.23,OK
F00241,2027-02-02 05:00,G1,-12.3,0,-12.3,-12.2,0.17,OK
F00242,2027-02-02 05:00,G2,-16.7,1,-17.7,-12.2,0.22,OK
F00243,2027-02-02 05:00,G3,-15.7,-1,-14.7,-12.2,0.21,OK
F00244,2027-02-02 05:00,G4,-14.5,0,-14.5,-12.2,0.23,OK
F00245,2027-02-02 05:00,G5,-20.0,2,-22.0,-12.2,0.20,OK
F00246,2027-02-02 05:00,G6,166.4,187,-20.6,-12.2,0.16,OK
F00247,2027-02-02 05:00,G7,-20.8,-2,-18.8,-12.2,0.19,OK
F00248,2027-02-02 05:00,G8,-17.4,0,-17.4,-12.2,0.20,OK
F00249,2027-02-02 05:10,G1,-18.5,0,-18.5,-12.4,0.22,OK
F00250,2027-02-02 05:10,G2,-12.2,1,-13.2,-12.4,0.19,OK
F00251,2027-02-02 05:10,G3,-14.3,-1,-13.3,-12.4,0.18,OK
F00252,2027-02-02 05:10,G4,-14.8,0,-14.8,-12.4,0.16,OK
F00253,2027-02-02 05:10,G5,-14.2,2,-16.2,-12.4,0.18,OK
F00254,2027-02-02 05:10,G6,163.2,187,-23.8,-12.4,0.18,OK
F00255,2027-02-02 05:10,G7,-18.9,-2,-16.9,-12.4,0.21,OK
F00256,2027-02-02 05:10,G8,-25.4,0,-25.4,-12.4,0.19,OK
F00257,2027-02-02 05:20,G1,-14.6,0,-14.6,-12.6,0.17,OK
F00258,2027-02-02 05:20,G2,-18.7,1,-19.7,-12.6,0.23,OK
F00259,2027-02-02 05:20,G3,-21.6,-1,-20.6,-12.6,0.19,OK
F00260,2027-02-02 05:20,G4,-16.8,0,-16.8,-12.6,0.17,OK
F00261,2027-02-02 05:20,G5,-15.9,2,-17.9,-12.6,0.18,OK
F00262,2027-02-02 05:20,G6,163.6,187,-23.4,-12.6,0.19,OK
F00263,2027-02-02 05:20,G7,-27.6,-2,-25.6,-12.6,0.21,OK
F00264,2027-02-02 05:20,G8,-25.0,0,-25.0,-12.6,0.21,OK
F00265,2027-02-02 05:30,G1,-14.8,0,-14.8,-12.8,0.22,OK
F00266,2027-02-02 05:30,G2,-13.9,1,-14.9,-12.8,0.18,OK
F00267,2027-02-02 05:30,G3,-21.6,-1,-20.6,-12.8,0.20,OK
F00268,2027-02-02 05:30,G4,-14.9,0,-14.9,-12.8,0.17,OK
F00269,2027-02-02 05:30,G5,-18.5,2,-20.5,-12.8,0.23,OK
F00270,2027-02-02 05:30,G6,169.2,187,-17.8,-12.8,0.19,OK
F00271,2027-02-02 05:30,G7,-25.5,-2,-23.5,-12.8,0.18,OK
F00272,2027-02-02 05:30,G8,-19.6,0,-19.6,-12.8,0.21,OK
F00273,2027-02-02 05:40,G1,-14.6,0,-14.6,-12.9,0.23,OK
F00274,2027-02-02 05:40,G2,-12.3,1,-13.3,-12.9,0.17,OK
F00275,2027-02-02 05:40,G3,-16.9,-1,-15.9,-12.9,0.21,OK
F00276,2027-02-02 05:40,G4,-19.2,0,-19.2,-12.9,0.18,OK
F00277,2027-02-02 05:40,G5,-17.9,2,-19.9,-12.9,0.21,OK
F00278,2027-02-02 05:40,G6,161.7,187,-25.3,-12.9,0.21,OK
F00279,2027-02-02 05:40,G7,-23.5,-2,-21.5,-12.9,0.22,OK
F00280,2027-02-02 05:40,G8,-23.1,0,-23.1,-12.9,0.18,OK
F00281,2027-02-02 05:50,G1,-19.3,0,-19.3,-13.1,0.21,OK
F00282,2027-02-02 05:50,G2,-14.3,1,-15.3,-13.1,0.19,OK
F00283,2027-02-02 05:50,G3,-22.6,-1,-21.6,-13.1,0.18,OK
F00284,2027-02-02 05:50,G4,-23.6,0,-23.6,-13.1,0.20,OK
F00285,2027-02-02 05:50,G5,-16.8,2,-18.8,-13.1,0.22,OK
F00286,2027-02-02 05:50,G6,161.2,187,-25.8,-13.1,0.22,OK
F00287,2027-02-02 05:50,G7,-25.3,-2,-23.3,-13.1,0.17,OK
F00288,2027-02-02 05:50,G8,-26.6,0,-26.6,-13.1,0.20,OK
F00289,2027-02-02 06:00,G1,16.3,0,16.3,-13.2,1.07,OK
F00290,2027-02-02 06:00,G2,30.5,1,29.5,-13.2,1.08,OK
F00291,2027-02-02 06:00,G3,37.7,-1,38.7,-13.2,1.08,OK
F00292,2027-02-02 06:00,G4,48.9,0,48.9,-13.2,1.05,OK
F00293,2027-02-02 06:00,G5,68.7,2,66.7,-13.2,1.06,OK
F00294,2027-02-02 06:00,G6,262.9,187,75.9,-13.2,1.04,OK
F00295,2027-02-02 06:00,G7,37.6,-2,39.6,-13.2,1.08,OK
F00296,2027-02-02 06:00,G8,20.9,0,20.9,-13.2,1.03,OK
F00297,2027-02-02 06:10,G1,-17.1,0,-17.1,-13.3,0.19,OK
F00298,2027-02-02 06:10,G2,-18.6,1,-19.6,-13.3,0.19,OK
F00299,2027-02-02 06:10,G3,-17.9,-1,-16.9,-13.3,0.17,OK
F00300,2027-02-02 06:10,G4,-17.8,0,-17.8,-13.3,0.17,OK
F00301,2027-02-02 06:10,G5,-16.0,2,-18.0,-13.3,0.23,OK
F00302,2027-02-02 06:10,G6,168.8,187,-18.2,-13.3,0.21,OK
F00303,2027-02-02 06:10,G7,-28.5,-2,-26.5,-13.3,0.18,OK
F00304,2027-02-02 06:10,G8,-27.8,0,-27.8,-13.3,0.19,OK
F00305,2027-02-02 06:20,G1,-2.6,0,-2.6,-13.4,0.60,OK
F00306,2027-02-02 06:20,G2,0.5,1,-0.5,-13.4,0.60,OK
F00307,2027-02-02 06:20,G3,6.7,-1,7.7,-13.4,0.59,OK
F00308,2027-02-02 06:20,G4,11.0,0,11.0,-13.4,0.63,OK
F00309,2027-02-02 06:20,G5,17.2,2,15.2,-13.4,0.63,OK
F00310,2027-02-02 06:20,G6,209.6,187,22.6,-13.4,0.63,OK
F00311,2027-02-02 06:20,G7,6.1,-2,8.1,-13.4,0.58,OK
F00312,2027-02-02 06:20,G8,-5.1,0,-5.1,-13.4,0.62,OK
F00313,2027-02-02 06:30,G1,-15.3,0,-15.3,-13.5,0.20,OK
F00314,2027-02-02 06:30,G2,-16.5,1,-17.5,-13.5,0.20,OK
F00315,2027-02-02 06:30,G3,-25.4,-1,-24.4,-13.5,0.20,OK
F00316,2027-02-02 06:30,G4,-17.8,0,-17.8,-13.5,0.19,OK
F00317,2027-02-02 06:30,G5,-16.9,2,-18.9,-13.5,0.21,OK
F00318,2027-02-02 06:30,G6,163.6,187,-23.4,-13.5,0.23,OK
F00319,2027-02-02 06:30,G7,-27.8,-2,-25.8,-13.5,0.20,OK
F00320,2027-02-02 06:30,G8,-28.9,0,-28.9,-13.5,0.17,OK
F00321,2027-02-02 06:40,G1,5.7,0,5.7,-13.6,0.78,OK
F00322,2027-02-02 06:40,G2,14.1,1,13.1,-13.6,0.81,OK
F00323,2027-02-02 06:40,G3,14.1,-1,15.1,-13.6,0.75,OK
F00324,2027-02-02 06:40,G4,30.8,0,30.8,-13.6,0.82,OK
F00325,2027-02-02 06:40,G5,32.9,2,30.9,-13.6,0.77,OK
F00326,2027-02-02 06:40,G6,232.6,187,45.6,-13.6,0.80,OK
F00327,2027-02-02 06:40,G7,14.4,-2,16.4,-13.6,0.77,OK
F00328,2027-02-02 06:40,G8,-0.7,0,-0.7,-13.6,0.78,OK
F00329,2027-02-02 06:50,G1,-18.6,0,-18.6,-13.7,0.22,OK
F00330,2027-02-02 06:50,G2,-17.5,1,-18.5,-13.7,0.18,OK
