ConceptID,ConceptLabel,Dependencies,TaxonomyID
127,Plain-Language Specification,123|1,CODE
128,Describe-Generate-Test Loop,126|124,CODE
129,Iterative Prompt Refinement,123|128,CODE
130,Test Case,124|1,VER
131,Reading AI-Generated Code,122|114|115,CODE
132,Truss Analysis Tool,6|122|127,ENG
133,Gear Ratio Calculator,122|127,ENG
134,Agentic Coding Tool,44|118|124,AGT
135,Unit Test,130|113,VER
136,Test Runner Pass and Fail,135,VER
137,Agent-Written Tests,134|135,VER
138,Analytical Solution,8|1,VER
139,Cantilever Beam Deflection,138|125,ENG
140,Numerical Tolerance,3|135,VER
141,Tests Written by the Same AI,137|75,VER
142,Known-Answer Check,138|130,VER
143,Hand Calculation Check,1|2,VER
144,Unit and Dimension Check,2|122,VER
145,Order-of-Magnitude Check,1|2,VER
146,Edge Cases and Limits,130|1,VER
147,Flow or Stress Calculation Code,7|122|142,ENG
148,Investigating a Discrepancy,142|143,VER
149,Software Bug,122,DBG
150,Debugging,149|117,DBG
151,Isolating a Failing Step,150|46,DBG
152,Multi-Step Agent Workflow,47|46|104,AGT
153,Tracing an Agent Failure,152|117,DBG
154,Compounding Workflow Errors,152|110,DBG
155,Thermal Resistance,1|2,ENG
156,Wall Heat Transfer Model,155|109,ENG
157,Debugging With AI,150|33|121,DBG
158,Giving AI Error Context,157|117,DBG
159,Root Cause Versus Symptom,150|157,DBG
160,Re-Testing After a Fix,157|135,DBG
161,Scoping a Design Tool,127|128,DES
162,Beam Sizing Tool,8|122|125,ENG
163,HVAC Load Calculator,155|2,ENG
164,Gear Design Checker,133|122,ENG
165,Iterative Design Loop,152|127,DES
166,Load Case,6|7,ENG
167,Design Across Load Cases,166|165,DES
168,Parameter Sweep,115|113,DES
169,Factor of Safety,7|166,ENG
170,Bracket Design Check,166|8|125|169,ENG
171,Design Convergence,165|94,DES
172,Agent Drift From Requirements,165|94|121,DES
173,Engineering Calculation Tool,122|127|144,DES
174,Inputs and Outputs,173,DES
175,Input Validation,174|146,DES
176,Documented Assumptions,173|174,DES
177,Footing Size Calculator,173|7|169,ENG
178,Heat Exchanger Sizing Tool,173|155,ENG
179,Validating Against a Reference,142|173,DES
180,AI Research Assistant,44|45,AGT
181,Literature Summary,180|33,DES
182,Citation Verification,35|181|34,VER
183,Source Quality,182,DES
184,Fabricated References,34|182,LLM
185,Corroborating Across Sources,183|182,DES
186,Materials Selection Question,7|181,ENG
187,Design Tradeoff,169|165,DES
188,Objective and Constraints,187|1,DES
189,Weight Versus Strength,187|7,ENG
190,Cost Versus Energy Efficiency,187|155,ENG
191,Sensitivity Analysis,187|168,DES
192,AI-Assisted Tradeoff Analysis,187|152|33,DES
193,Uncertainty in Tradeoff Inputs,187|85,DES
194,Engineering Judgment,187|192,DES
195,Risk and Consequence,30,ETH
196,Failure Mode,7,ETH
197,Autonomous AI Systems,44|94,ETH
198,Self-Monitoring Structure,49|197,ENG
199,Human in the Loop,197|95,ETH
200,Accountability for AI Decisions,197|199,ETH
201,AI Ethics,59|197,ETH
202,Explainability,201|17,ETH
203,Verifying Agent Output,58|142|94,VER
204,Code Compliance Check,12|35,VER
205,AI-Suggested Design Change,165|204,ENG
206,Independent Verification,203|141,VER
207,Traceability of AI Steps,152|153,VER
208,Verification Checklist,203|145|144,VER
209,Documenting Verification,208|176,VER
210,Safety-Critical System,195|196,ETH
211,Professional Engineer Licensure,12,ETH
212,PE Stamp,211,ETH
213,Responsible Charge,212|200,ETH
214,Standard of Care,211|210,ETH
215,AI-Assisted Accountability,213|199|203,ETH
216,Engineering Code of Ethics,201|211,ETH
217,Disclosing AI Use,215|202,ETH
218,Limits of AI,75|34|62,ETH
219,Missed Failure Mode,196|218,ETH
220,Conditions Beyond Training,63|218,ETH
221,Physical Reasoning Gaps,218|6,ETH
222,Missed Code Requirement,204|218,ETH
223,Tacit and Site Knowledge,218,ETH
224,Judgment Catching AI Errors,194|219,ETH
225,When Not to Use AI,218|195|199,ETH
226,Presenting Technical Work,173|176,DES
227,Presenting Verification Evidence,226|209|179,DES
228,Stating Tool Limits,226|218|217,DES
229,Defending Design Choices,226|194,DES
230,Reflecting on AI Use,215|225,ETH
